A,B,C,D,E,F
96,739,high,Within offer.,2023-01-23,2023-02-25 13:39:15
38,224,establish,Affect from moment.,2023-01-10,2022-11-13 16:54:24
22,503,though,Experience.,2022-09-08,2022-08-18 18:13:41
13,720,yourself,Company however her.,2023-06-16,2023-01-16 06:28:49
90,632,site,Operation fear look.,2022-12-17,2023-04-06 06:42:11
84,646,bring,Any if I control.,2023-06-13,2023-05-11 13:23:10
66,448,lose,Research research.,2022-07-17,2022-08-20 04:08:58
89,151,member,Could call yes.,2022-07-17,2022-08-11 09:05:09
79,541,expect,Care visit always.,2023-06-03,2023-04-09 01:46:59
1,483,three,Impact people much.,2022-09-18,2022-12-16 00:56:08
