A,B,C,D,E,F
64,813,attack,Traditional.,2023-04-14,2023-04-20 11:27:59
56,270,politics,Crime skill few.,2022-12-18,2022-10-27 21:54:35
40,561,else,Such high trouble.,2022-11-19,2023-03-07 20:22:04
20,738,long,Choose rise.,2023-03-17,2023-06-11 01:41:14
11,482,time,Drug small prove.,2023-03-12,2023-05-24 19:50:17
99,991,camera,Return news.,2022-10-11,2023-02-12 00:05:49
20,493,agent,Professional man.,2023-05-14,2023-01-19 03:56:13
78,197,them,Sometimes.,2022-12-07,2023-03-01 13:42:33
54,226,buy,Will experience.,2023-04-14,2022-07-15 13:04:39
29,425,house,Sing avoid serious.,2023-04-05,2023-02-11 05:58:12
