A,B,C,D,E,F
56,483,defense,Past window require.,2022-07-29,2022-08-31 02:41:21
99,668,little,Become quickly.,2023-05-31,2023-03-26 00:43:15
62,154,protect,This individual.,2023-02-06,2023-01-21 06:50:37
11,707,do,Recent really.,2022-10-14,2022-08-06 19:27:24
95,598,save,So must yet ready.,2023-04-11,2023-04-29 04:28:39
23,218,TV,Ask prove artist.,2023-06-18,2023-01-01 18:57:22
72,132,remember,Beyond reflect here.,2023-04-15,2022-12-23 20:33:36
40,637,make,Owner red sense.,2022-10-02,2022-12-20 06:40:26
38,929,sell,Church name cup.,2023-05-01,2023-05-25 23:52:04
16,626,use,Help little.,2023-04-02,2022-10-06 06:19:21
