A,B,C,D,E,F
86,337,during,Indeed American.,2023-03-25,2022-11-25 19:18:00
80,773,player,Next there window.,2022-12-01,2023-05-19 00:07:42
28,792,will,Best evidence.,2022-11-01,2022-09-23 02:11:02
49,548,I,Often sister sure.,2023-05-10,2022-11-17 00:44:05
22,271,professional,Involve form.,2023-03-05,2023-03-15 04:12:07
67,534,follow,Off become low.,2023-03-28,2022-06-22 04:00:37
47,277,course,Play dog focus.,2022-09-15,2023-04-30 04:23:42
39,977,itself,Research surface.,2022-09-15,2023-05-20 18:22:31
84,107,work,Social court.,2022-10-01,2022-12-11 08:52:43
19,573,be,Method news year.,2022-10-05,2023-04-06 09:20:57
