A,B,C,D,E,F
21,826,a,Indicate wait.,2022-06-20,2022-10-06 13:44:54
36,877,executive,Interesting too.,2023-04-22,2023-03-20 10:46:17
47,941,include,Treatment per.,2022-08-24,2022-09-24 02:26:37
15,748,analysis,Tough market bit.,2023-05-13,2023-06-10 02:40:57
65,270,cause,Public garden table.,2022-11-19,2022-10-06 08:02:53
57,977,set,American evidence.,2022-12-15,2023-04-08 15:08:03
85,156,building,Decade about pick.,2023-03-02,2023-03-12 05:27:24
4,370,number,Free him end nice.,2022-08-26,2023-06-12 11:18:14
58,849,study,Say occur each.,2023-04-13,2023-01-30 14:42:22
68,109,close,Job project less.,2023-01-24,2022-07-03 02:46:06
