A,B,C,D,E,F
19,360,woman,Study call campaign.,2023-04-17,2022-08-01 12:33:58
40,513,easy,Would just happen.,2022-08-29,2023-01-20 13:41:06
14,105,identify,Building actually.,2023-04-03,2022-07-19 19:54:58
63,437,yourself,Bed behavior half.,2023-05-02,2023-06-18 06:16:37
16,955,example,Education voice.,2023-06-06,2023-04-13 11:02:19
11,439,light,Remain call project.,2023-05-21,2022-06-28 04:08:52
42,110,space,Open week my.,2022-11-07,2022-12-12 02:44:22
11,549,hotel,Everyone case.,2023-02-26,2022-09-22 03:39:02
91,625,around,Recent throw.,2022-12-21,2022-08-02 08:42:11
40,171,finish,Be city size sea.,2022-10-19,2022-11-21 21:14:13
